Afli eftir fisktegundum og löndunarhöfnum, janúar 2010 - september 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2025;;;;;;;;;;;;2024;;;;;;;;;;;;2023;;;;;;;;;;;;2022;;;;;;;;;;;;2021;;;;;;;;;;;;2020;;;;;;;;;;;;2019;;;;;;;;;;;;2018;;;;;;;;;;;;2017;;;;;;;;;;;;2016;;;;;;;;;;;;2015;;;;;;;;;;;;2014;;;;;;;;;;;;2013;;;;;;;;;;;;2012;;;;;;;;;;;;2011;;;;;;;;;;;;2010;;;;;;;;;;;
;Reykhólar;..;..;..;..;..;..;..;14;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;233;585;..;..;..;..;..;..;..;..;..;..;..;430;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;26;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;1430;..;..;..;..;..;..;..;..;..;..;..;..;879;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;570;..;2;989;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Reykjavík;1964045;1162887;1189601;1355299;1337411;1156758;1698693;614183;1142773;..;..;..;1333277;1084017;1697805;815733;1546656;1290182;1777500;1328976;1988364;1945350;2012004;1878109;1649235;1396066;2323087;731863;2112050;1375955;1277624;1537637;965801;1728744;2088156;1474427;1233939;1044741;2086254;1373522;2336228;1670337;1455134;1332134;792264;1273527;1244039;1234058;1653356;1451601;3094850;1111586;1435647;2063257;4489926;2003306;569904;1584768;1671046;2566919;1224448;1765665;2511967;975536;822323;1208476;3370431;1568197;756380;1158700;1469049;1385602;2164016;2191020;1011223;1759329;1667591;1755318;4275190;1378007;1610210;1538875;1399178;1888128;1950635;944799;2589558;1226522;1685716;1454402;1728648;2292136;1783822;2150383;2407453;1080304;19157;179478;1338407;1244907;2246907;1779471;2046200;2875341;2256824;2342833;2079792;1734775;1382168;2291459;2369088;1083104;1226441;1267965;2211040;1552649;2014249;1998574;3165313;1600966;752155;1878509;3438669;1402697;1356190;916135;1662691;1493408;1580715;2199318;1673437;2751243;1055884;2644079;2710026;1119313;2202083;733181;850787;1660382;1075137;2393488;1825694;2078691;1259404;2703326;2961413;1416600;2401344;820912;1703411;645052;1268959;1626723;2189739;1618875;1188077;2291648;3050507;1772205;1407168;519470;1570149;798174;1044069;1780279;1241553;1778651;1107782;1010316;2260451;1883118;1386364;603832;653679;880987;904620;1336735;3839901;2500472;956315;1261938;2807555;1258905;642068;892999;2079778;1356886;1153579;2021677;1515185;2003349
;Reyðarfjörður;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1300;..;..;..;..;..;..;..;..;..;..;..;46;..;..;0;0;..;..;..;..;..;12989;733;..;..;..;..;..;..;..;696;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;56;..;..;..;..;..;..;..;..;..;..;..;..;..;0;79;..;..;..;..;..;..;..;..;..;897;..;..;..;..;4405;..;..;..;..;..;..;0;..;..;..;..
;Rif;2521045;3129996;2685305;1992171;1658370;672134;72887;371075;872892;..;..;..;2206198;2446274;1719385;1834359;1765431;333757;64339;206610;718648;920309;1140492;1163783;2357182;2579256;2177150;1019407;1728686;641734;110594;444791;1096824;1426604;2126072;1544932;2531531;3138792;2703305;2068347;1915497;596601;254681;255000;1246558;1592275;1641265;1539962;2338648;3060752;2535126;1632014;2241632;423303;151325;339529;496482;607465;1245121;1398076;902665;2490379;2731948;916494;2088329;741520;138558;77898;178841;217136;363190;790950;1569112;2935938;1923541;1477194;2188742;265702;138738;168014;267360;217529;467320;515683;1435758;2179367;2146392;1620423;2025337;472850;188000;295309;685733;214888;521666;979115;311089;1362446;2056786;1408588;1428544;628839;235455;194780;235307;277141;593753;941461;1725905;2211498;1508028;1075859;1553985;678638;115298;418054;492314;577800;700230;940529;1402224;1935504;2062161;898784;1549251;719763;192150;200128;337575;541556;1086518;747641;1248754;1319100;1716267;1429788;1572013;814232;136251;287990;405847;241131;929189;554184;1423890;2081244;1309195;1118427;1067729;696917;141872;175968;287870;444084;694087;548280;1337519;1853786;1072627;1042685;1058551;497974;136836;164543;226613;324886;404418;624445;976061;1414181;772709;664439;1156212;370138;133773;410433;432268;258450;716152;801752;1499737;1363538;1347232;774919;1127791;442758;50131;224391;234294;520476;652452;585875
;Sandgerði;978737;1566506;1649236;1401616;592753;308226;140466;136346;134695;..;..;..;736103;1020244;1199019;810990;826056;301111;210907;75540;227454;264280;318899;384978;524274;663942;693327;473704;545859;348128;89902;244567;462040;326896;546963;564884;290036;978165;1666200;1071034;703208;272039;126913;202083;332780;288665;412684;264527;1166077;2266100;1457307;981588;421749;273059;164683;140127;154032;139806;267492;890206;666162;1842634;1930332;793695;616575;265441;386171;87469;368879;236174;450777;687614;1087838;1610276;1578501;1144258;938119;73919;312236;107612;262169;140010;300102;311834;1201909;737317;2179786;1312875;496640;130703;83300;117609;252262;102132;373075;590640;448392;1095512;1738942;817716;932318;143248;80266;95899;355053;256802;258006;652994;1079039;1949585;1684586;1053265;438093;168578;37696;57823;180136;219253;419950;454724;611667;1605375;1986605;667177;570918;240977;97065;21280;86777;208131;204794;582179;1023067;1602427;2425975;1357049;505193;123633;53230;39679;121148;177944;160663;445807;1511157;1715689;1295766;913484;429591;104889;82401;36733;102457;253216;240791;490003;1098999;1172946;956495;1020268;882814;180602;32840;172154;515934;652840;299866;650671;871526;1880857;919147;607410;1170164;352987;166512;175878;421631;435339;662788;560746;1642255;1855668;1458598;649127;598324;293521;79144;244585;504480;536343;538024;476551
;Sauðárkrókur;1038182;967890;1016234;714997;911081;781247;269254;1001128;1525936;..;..;..;1138076;884287;1154545;1085932;1209896;866008;176570;1112093;1545742;1364702;1191151;938406;1056371;1184920;820919;844193;1043767;390786;168947;208813;1331699;1468654;1561040;891296;1301780;1090928;1064259;291019;423098;669708;47670;107817;1498860;1142022;1499138;871502;1494273;1254183;1427877;1033633;1067273;704413;862713;1684522;2973624;1039856;1002756;904546;1847437;1198012;717434;373545;598568;2053476;1603757;1213834;2517077;2042467;1834987;1194820;1697871;1191831;1108932;726362;1472946;1262971;2149844;2126857;2277412;2748157;1675016;960732;1095683;1027730;846245;705240;1160631;1136750;1017604;1212212;1948324;3418108;1764682;1062397;20664;290551;910193;631385;1213570;1091191;1226494;1427663;1593935;2696064;2300562;986350;875084;1273734;869438;967094;1122652;1234322;620760;971817;1055163;1235973;975497;540980;514391;806908;875585;688355;700477;1202716;449956;464861;693549;1129376;1135567;563351;584167;633787;800550;611849;943962;722624;370404;108419;965615;750744;871825;304707;619423;580007;1332423;1180484;754297;707389;524392;26908;736273;620754;732985;586243;481410;569936;1221142;600319;698896;476444;260238;194663;514533;563737;660915;530139;487294;653095;1252297;486767;572418;349257;72033;82562;347700;563889;509007;449637;470087;738896;396075;606067;557816;491392;160183;652610;617810;714878;760032;477375
;Seyðisfjörður;239140;202422;137952;133293;252800;240583;61384;172520;398919;..;..;..;135331;318730;110005;43502;228217;97018;68535;171984;391489;486783;127339;177018;317864;311643;70567;224413;327143;243379;186543;173002;183742;626740;297137;145724;264797;447282;44667;235464;401658;232680;128483;222164;44283;450430;379060;194042;185220;447192;125095;261585;359666;244687;25151;316116;323834;251724;447345;210859;416374;398313;446126;193895;305772;282052;3347;502262;474033;670944;408392;181541;387945;337468;362068;245458;482596;126577;63942;390530;792400;675823;546811;347839;377025;453273;419072;447571;340832;242857;156292;842029;910053;842006;595102;287057;5118;35894;169361;160112;279751;274837;65369;625343;563598;794838;314497;149821;202066;418281;213588;164626;309716;244442;95358;279326;451281;318540;381151;108981;297098;240801;395211;126071;117833;190293;51208;288403;458702;488958;347212;233451;135691;29523;201202;110544;188346;114441;95498;208406;166982;175203;237991;114212;126566;133001;146168;148417;151268;104955;58090;106142;494326;316956;147202;97243;83407;138647;145679;132883;158406;132102;71257;119834;779458;456004;291986;293819;92378;119938;169252;92370;162330;53668;101230;200725;462485;225681;279142;206931;62649;129404;167519;104616;129104;127228;39313;129557;617601;664081;656084;304402
;Siglufjörður;51086;743043;1364457;656056;926216;253330;1187113;1539298;1192363;..;..;..;396793;799974;1050093;639477;1552841;374159;1380254;1434977;671959;1610777;1159368;940807;1019668;934004;893544;1174695;890983;1216136;991173;1040311;1214852;1437422;848315;1193815;424336;1079677;780138;976886;906429;1041227;1033312;1455594;1503042;1578950;1662385;987072;564414;2385630;1746560;1130359;737683;1687718;1649761;2613891;2096986;2347843;2194273;1484496;445740;1452625;955984;1749589;652652;1268780;1940323;2673901;2763679;3547478;4397860;1916783;1756871;741995;1872318;781945;535938;903679;2305054;1741154;3186756;4117978;5546608;2053931;857262;805397;1642201;905529;726043;1124908;2198365;2603566;2034888;3429439;3467211;1689161;83261;228998;1001778;637699;827735;1007139;1193546;2563296;1801469;3513481;3912920;2447458;1385837;1061724;1373454;825507;370882;816405;1377420;1927937;3138456;5177773;2811405;1842781;871116;2195358;2219578;585347;1152670;510721;1696378;386043;3369823;3395758;3025862;1290044;1425095;1282880;1309445;424021;1159355;1357409;1490895;1055491;1917949;1893947;1783702;1029979;967669;1726305;1564047;650576;511048;1363186;356945;393551;1879851;2394807;1728039;1643611;497548;1391002;739409;617171;640649;1044361;485899;780279;913239;1383597;1305246;1088189;299977;633208;594775;364606;239206;607225;452354;597814;367135;985072;1050401;761091;804266;56203;83287;51933;312283;630699;475392;1104060;419558;465508;241746;621861
;Skagaströnd;160739;162686;113024;98419;133910;237526;197684;187141;337895;..;..;..;280586;66265;96212;44469;212352;157064;204087;315908;674785;1237371;1031853;79638;32941;462471;342285;357044;226351;295103;124501;337242;267239;967371;518329;394748;196026;19929;384983;151640;308527;261202;169485;167038;1156583;1392978;1729506;201437;58929;103041;98926;288362;169267;256138;305072;377201;1150957;1126966;987142;273487;64872;45489;101965;225517;358249;423413;216451;425013;297449;252574;250446;109150;81823;92356;214245;329498;82582;471191;269028;601012;498218;149549;290013;68296;114061;204128;1086095;306139;337445;841438;1188565;655995;485417;1122503;378753;125554;184094;90582;1011444;99191;261256;792792;347257;463850;395595;956643;571811;236448;200450;76714;1145047;136145;245140;340776;838282;442694;615124;1394835;1601889;303574;166295;382443;1225037;94291;106633;503982;595496;397499;1012423;929668;383753;283790;196428;244056;1192844;787604;132475;266626;286658;251935;548405;582204;581473;444478;353822;421211;337611;379535;272261;215245;599835;287551;406750;1238816;2346700;1086682;264159;199896;161669;213513;208488;295733;352489;878823;445474;1256265;298584;509799;271674;257830;223695;196313;152472;182102;328369;385411;1021133;1404266;642525;254595;233645;970716;226384;171733;61465;176166;210609;452747;926864;1740600;996126;514043
;Skarðsstöð;..;..;..;..;21;10;7;90;..;..;..;..;..;..;..;..;..;17;..;..;..;..;..;..;..;..;..;..;..;38;..;..;..;..;..;..;..;..;..;..;13;..;442;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;45;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;82;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Stöðvarfjörður;375071;35895;82568;81435;332602;352324;147055;51898;27823;..;..;..;317595;92892;57374;89426;277719;145457;169703;297934;214816;220636;199390;330796;373019;83109;105614;144210;148301;342370;151741;215954;176935;103540;200949;402380;392285;8085;..;1333;498129;189025;183349;62406;56035;324319;339619;267135;407050;12746;2594;265;177860;180167;102659;52070;58647;445797;185632;192983;366543;175435;17932;29282;302239;235110;390952;70360;206292;263383;497617;565529;609440;234910;32905;83405;689842;539107;630980;151288;178857;234599;561391;384510;503781;188145;158774;290105;844897;717457;655104;565522;382402;570511;985711;617477;821407;405687;203969;77414;400382;263225;476580;610371;284209;932740;687955;637081;484352;141205;125663;43524;462081;580749;471056;520143;353001;577738;805813;427810;176164;49524;40302;875;45633;364784;639389;462987;306657;450525;564391;233941;190305;84330;118109;110557;216661;484363;339311;258311;523136;578820;507813;240436;96628;97536;117571;94201;502093;540354;618360;247902;503673;541746;432242;299583;126244;46451;68753;76038;177810;418052;370754;412195;436598;556198;373944;206377;81836;29287;25347;16993;85895;215628;374004;265872;451088;493038;560115;81373;78408;7588;17035;15726;81813;163599;132993;191545;267699;224473;260836;175532
;Stykkishólmur;424142;423847;685484;78464;186348;89688;54173;..;..;..;..;..;298230;844230;208361;7691;125081;91943;54216;165;..;..;..;..;283093;727375;458194;8334;114588;141418;47962;875;..;3055;15007;30049;370813;575177;477448;110799;150307;119410;100789;3852;3942;2598;3379;12608;38086;353894;418376;31157;17958;37919;98890;89195;..;7767;34571;33723;169176;546502;435195;50006;33271;43821;39945;40629;1487;1474;20242;14543;8008;9644;5427;30576;23593;11336;30613;21950;..;105875;238667;200047;166130;485755;153747;36141;119161;29550;24910;17485;35063;1281;17189;197539;26085;186968;495701;339737;341836;39648;26516;21480;..;..;60818;141320;260052;418715;210144;190210;241741;28798;16141;30231;701;..;189497;141786;304213;467360;355796;237365;125923;36206;22145;17038;3878;16688;105627;126004;352845;332848;483644;97416;234543;50130;39138;16899;4240;15201;194852;144293;357104;276276;203189;292048;45055;64726;59227;34334;25265;19950;77885;93758;261655;454267;286261;261015;119065;61692;69147;37240;66860;40865;73999;183452;282355;424654;270853;71174;108655;67338;79804;94945;35935;7921;44970;194165;292411;427872;249254;188329;151251;46530;29409;38179;90821;61085;64207;123516
;Súðavík;..;..;..;1273;17920;24119;28436;19399;10847;..;..;..;..;..;..;1163;39303;23794;22530;20231;13152;..;..;..;..;..;..;..;26471;29192;33268;41054;6263;..;..;..;..;..;..;..;30443;28480;38637;11960;7011;..;..;..;..;3632;6999;11245;41839;60568;87219;69752;8856;..;..;..;..;..;16302;9014;36701;35725;62142;40286;14447;..;..;..;..;480;1242;17757;58571;70330;79991;41803;39742;1577;..;..;..;..;7380;19288;71231;46535;66581;57954;27008;2971;..;..;..;3213;2435;15848;63616;59125;91580;91092;32120;6533;..;..;848;609;1752;35825;60132;79379;124281;89750;62694;6425;1369;..;124;250;..;8200;46757;90184;83178;50596;36042;7230;..;..;..;317;4315;1026;34752;77149;109356;74663;18468;2903;4163;..;..;..;..;9593;37659;74376;96793;30151;5115;8048;..;..;2368;9550;15132;32367;220029;118961;85330;48107;225921;210920;..;..;57;15332;62211;64456;224917;38208;51952;10873;2565;..;..;307;9398;29686;112772;115889;42627;21390;11363;92092;38728;170360;45696;..
;Suðureyri;201222;228453;116334;99403;279003;288077;320307;197767;81700;..;..;..;249034;246772;122180;97583;256882;244181;256932;263209;205654;154859;130998;90277;191883;163137;48311;57794;259290;372062;294526;245803;140218;144620;140864;202958;191893;170052;103842;100096;244297;426334;265867;196181;137365;119985;103454;246362;170288;220960;102738;50517;228783;323290;268457;274171;99086;64693;142073;120518;66632;186096;137386;19096;174391;428543;344356;204013;54973;93058;120462;59759;88337;115110;150734;110253;128537;316150;275836;111316;113569;55683;108280;45219;140545;124176;84604;20035;189397;207301;247226;270409;165193;108473;97395;70751;167414;160653;55801;17065;173175;338289;281854;295486;120838;127908;161256;121036;256177;171953;76992;17459;151010;213799;222261;327581;138494;195813;134956;93982;148517;65622;3759;18570;194437;317215;225605;192762;136896;207751;137401;135172;95748;44338;17307;22627;227761;308220;323281;218062;76802;58411;165818;65902;95342;88348;5434;17357;104329;316920;247497;214023;158433;110679;79436;53174;107817;71848;22285;42167;129817;213633;226435;89143;127688;129297;73590;67567;72346;127792;22621;30779;121647;104767;136782;95540;72093;62510;94040;68555;255616;105457;101458;84039;148482;127372;111665;147605;115138;127675;144400;109227
;Tálknafjörður;179550;79437;1256;48957;285581;252688;128460;24585;13141;..;..;..;114486;182195;34585;53466;268276;321912;235376;182137;189231;261623;152464;174638;116320;130171;56541;41253;196506;300504;148608;127560;146599;189212;246667;149608;231292;245316;46356;31056;221671;202895;171022;76362;78019;81894;185739;101731;158338;99176;80599;38323;252689;171522;116121;126523;20114;116072;114077;204959;129267;179917;143711;7329;225843;192171;141828;59677;34603;53412;70394;71957;173906;254607;199871;18454;177439;133471;101051;47821;25789;4052;89981;26694;195801;155102;114133;35062;157804;173445;97771;86564;43528;49035;108824;74629;241197;283540;70633;36282;128957;118292;124571;79858;69805;39491;46150;55469;214908;174654;35915;17633;176549;104892;47344;61407;42906;28774;73330;66254;237214;205603;130192;21712;175524;155959;30385;38254;55501;49253;53513;48800;282294;247505;111397;60701;184709;114196;83177;29941;231737;313030;285108;178229;297844;236110;80187;28395;74562;92274;63261;19431;258388;361464;274238;133084;209064;231667;15633;24319;133259;90989;59992;23100;60998;138129;228823;114788;159036;274610;24692;61703;97005;111968;126150;44521;115103;155692;193065;126456;280243;220159;141837;59974;196860;192764;53545;94728;146243;84765;213569;180141
;Vestmannaeyjar;956442;876927;2320665;1831263;1707985;465271;226217;305046;725890;..;..;..;1278764;2080936;2483522;2928070;1565800;456087;126487;301600;1007463;878413;928515;654607;1064130;1118405;2281146;2065223;1817173;708835;428268;272832;967058;943088;1518505;601167;975770;589892;1666250;2624247;1525957;768950;587713;399082;643440;959647;1161086;661838;765799;1857996;2998919;2298372;1661959;950038;894754;688785;668054;498267;916839;597839;436555;1627869;3388629;2624386;1464779;917494;804359;1066178;1060558;943054;668299;465915;878776;1445177;3048144;2129464;1248312;507865;942043;455653;798591;917687;801443;545150;750497;1398718;2563746;2427588;1255440;909231;1102987;694942;1056162;1425994;1115958;433881;2925;818308;2816435;1590748;1595882;807443;968629;551681;451434;887046;551562;383556;822433;1488892;2041531;1902457;1084443;519610;674943;538185;694171;709736;629097;298806;837160;950235;2033502;1672042;954021;781738;666761;609468;1080569;1074917;977773;702075;636339;1320003;1900452;1747479;1214974;671567;581684;437632;971747;1478027;1031112;415658;1095434;1077587;1813591;1875484;1156883;358244;485423;180791;1171707;1595733;1311748;644916;494532;1137652;1820330;1473816;1041672;417942;544372;227435;532972;980397;758549;570884;387184;525886;2098286;1388693;1070455;598129;379727;137993;478833;702070;439809;429356;450854;775422;1851515;877850;868078;411356;292824;125102;282880;458557;280653;303352
;Vogar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;312;26;..;..;..;..;..;..;..;..;..;..;191;20;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Vopnafjörður;..;46;3373;3107;39089;60832;83460;25829;32488;..;..;..;..;..;..;1867;45083;50771;103153;22648;144669;162972;185124;243;..;36434;9437;28378;46430;62702;35069;29047;26872;120032;4561;..;1981;7818;953889;11804;12273;26617;30317;47322;21901;287861;43125;7841;4579;21607;4708;15465;15497;111440;345647;470890;519193;76501;92137;75423;8296;..;5361;1377153;7627;93532;396555;652482;179065;339213;918;..;1065;2416;11849;11440;5973;10264;46544;317289;152838;2648;14280;52;10072;4913;9052;14446;8026;49367;132779;45272;19337;123191;25843;8242;18900;9376;13598;3141;1862;28970;98412;81601;14764;134066;27655;8016;21777;14389;15045;16101;23048;31896;89678;109939;31338;132702;118969;21544;22667;14377;16895;5120;29271;78777;160659;75593;172934;206003;102674;19822;6517;11974;5433;11039;15630;45791;65665;55729;72943;143188;77164;4055;15579;13648;20332;12903;19194;58117;93996;117895;92351;104772;122193;48697;32862;9688;7622;3655;16329;50254;55894;35066;3414;9100;13745;70902;..;3700;2666;2271;27289;86779;82047;93603;6551;4448;16038;6868;10021;3653;4677;2381;2028;42670;32082;26141;4489;3303;22495;9929
;Þingeyri;..;..;3351;20880;107212;139987;130446;118007;78525;..;..;..;..;..;245;21540;155991;201396;137918;121235;127962;87378;116461;42554;..;..;..;6265;87421;165010;124995;82550;135936;151462;117850;..;..;..;..;9642;119630;103374;139811;155046;170592;143321;28285;..;..;3357;413;11497;133384;192368;143561;123119;178354;83203;55973;1115;732;..;..;6164;42536;79602;160986;79474;59387;34548;9234;33191;129;6635;..;11940;110333;81987;173579;78660;158016;58793;..;..;..;..;..;6658;30318;193098;114836;122802;38732;28460;12867;..;..;..;2718;319;71347;1423;107478;139719;2975;81099;54810;83725;3833;2477;9220;4391;28474;44821;109564;115545;139992;59644;125387;..;..;..;..;603;20606;136735;19647;23650;9247;46979;11833;..;317638;54750;2090;116340;226636;112875;294021;30618;57150;126073;3030;..;274663;400328;312962;96628;207915;62825;35085;23121;274523;341409;380408;235188;37295;61365;..;2410;16110;47227;44856;97528;485194;309689;287029;200957;44515;47381;43621;38481;39249;97314;68638;27135;183411;300182;195682;142748;128976;14816;45800;842;12636;14648;26217;21490;251588;471235;24941;9827
;Þorlákshöfn;301940;423968;1888924;1769141;1014798;564165;286293;339700;404514;..;..;..;1083370;1562179;2375299;1800159;1109361;233280;499352;200762;170381;202810;43613;140960;424194;848547;1881574;1458518;1022280;540305;254322;690235;437400;315275;259780;403622;224078;1474446;2312516;2066557;1569077;503163;453708;174068;264248;329431;484106;145462;323947;1319930;3398461;2542273;906237;102696;64654;69050;134246;88125;125678;112733;287728;851578;2704607;2780351;1946740;200078;68800;112995;249379;265383;85492;59373;380004;965636;1673588;1536853;1010666;206116;46819;88463;146099;79027;126912;109958;224518;616254;1528435;1680023;723664;208204;123852;176585;111586;121482;195900;42732;104722;895615;1926652;1271209;707215;135545;49346;119602;85063;129211;66788;134853;230379;1677012;1810177;1435299;813463;146924;87646;132930;122610;54987;124797;37099;152958;716238;1863152;1027279;1024191;147444;133992;101502;93320;145903;99840;121299;360957;958397;2217407;1320944;350513;102188;113410;96798;75613;72739;63021;48112;146998;706990;1026115;1003188;198273;61457;76294;67347;85284;59706;29539;76192;184252;527515;1185268;1108817;537748;123222;52168;53407;106686;71852;124804;80504;277232;455556;1166293;911431;440834;118152;60161;123101;120556;50145;41623;86388;210890;552933;753313;893442;421358;147252;107037;113594;91970;52231;50117;95108
;Þórshöfn;177100;224794;79565;129403;60515;191814;94992;27133;21351;..;..;..;171748;80769;64751;51945;66814;63833;99762;16655;13708;248989;301501;7203;15438;79784;136857;134482;46688;107559;65612;33641;11586;18427;210155;159092;752;39551;181584;164504;144827;65781;137236;75066;96441;122380;64864;45090;16573;119168;412005;114390;120424;43517;110180;130419;67812;44100;129900;15513;76129;6862;96080;81310;112585;96513;174475;307667;122756;152683;96395;38641;57650;2729;102251;168461;98907;41138;208806;102309;84487;140805;125952;46070;19966;117824;53173;76375;70097;37276;109905;111817;59972;93864;103292;74291;6228;5209;108610;41182;53230;196072;66056;56331;78798;105521;233302;79460;196977;141317;87891;119808;45032;139242;54886;96194;24315;214661;261471;134301;5555;16691;112128;67228;26360;37508;361062;89736;30307;277707;361722;132405;179281;159637;103870;94498;73264;92751;182274;117956;296193;202071;290289;215751;8796;197833;291837;184214;102371;37929;204929;147942;30325;268540;278520;136885;3866;7785;228013;48847;122594;35462;34802;20338;347498;250549;298880;11306;53590;25000;284108;49264;18567;28559;87975;70567;16609;8696;116275;53225;46147;19138;43399;39791;41714;20565;35147;73404;299531;6071;159741;2021
;Danmörk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Færeyjar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;20;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4820;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Grænland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;25453;139190;131244;63021;140118;303324;157529;289514;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
